time,clus
1950-11-01,3
1951-11-01,4
1952-11-01,4
1953-11-01,4
1954-11-01,3
1955-11-01,3
1956-11-01,4
1957-11-01,3
1958-11-01,1
1959-11-01,1
1960-11-01,4
1961-11-01,2
1962-11-01,4
1963-11-01,1
1964-11-01,3
1965-11-01,4
1966-11-01,4
1967-11-01,2
1968-11-01,4
1969-11-01,1
1970-11-01,1
1971-11-01,2
1972-11-01,2
1973-11-01,2
1974-11-01,4
1975-11-01,4
1976-11-01,4
1977-11-01,1
1978-11-01,1
1979-11-01,1
1980-11-01,4
1981-11-01,4
1982-11-01,2
1983-11-01,4
1984-11-01,1
1985-11-01,4
1986-11-01,2
1987-11-01,2
1988-11-01,2
1989-11-01,4
1990-11-01,4
1991-11-01,1
1992-11-01,4
1993-11-01,1
1994-11-01,2
1995-11-01,4
1996-11-01,4
1997-11-01,2
1998-11-01,4
1999-11-01,2
2000-11-01,1
2001-11-01,3
2002-11-01,1
2003-11-01,3
2004-11-01,1
2005-11-01,3
2006-11-01,1
2007-11-01,4
2008-11-01,3
2009-11-01,1
2010-11-01,4
2011-11-01,2
2012-11-01,1
2013-11-01,3
2014-11-01,3
2015-11-01,4
2016-11-01,3
2017-11-01,1
2018-11-01,3
2019-11-01,2
2020-11-01,4
2021-11-01,3
2022-11-01,1
2023-11-01,2
