time,mem,clus
1940-11-01,r1i1p1f2,2
1941-11-01,r1i1p1f2,2
1942-11-01,r1i1p1f2,4
1943-11-01,r1i1p1f2,3
1944-11-01,r1i1p1f2,1
1945-11-01,r1i1p1f2,3
1946-11-01,r1i1p1f2,2
1947-11-01,r1i1p1f2,2
1948-11-01,r1i1p1f2,3
1949-11-01,r1i1p1f2,1
1950-11-01,r1i1p1f2,2
1951-11-01,r1i1p1f2,4
1952-11-01,r1i1p1f2,2
1953-11-01,r1i1p1f2,2
1954-11-01,r1i1p1f2,2
1955-11-01,r1i1p1f2,1
1956-11-01,r1i1p1f2,4
1957-11-01,r1i1p1f2,3
1958-11-01,r1i1p1f2,4
1959-11-01,r1i1p1f2,2
1960-11-01,r1i1p1f2,2
1961-11-01,r1i1p1f2,1
1962-11-01,r1i1p1f2,1
1963-11-01,r1i1p1f2,4
1964-11-01,r1i1p1f2,3
1965-11-01,r1i1p1f2,2
1966-11-01,r1i1p1f2,2
1967-11-01,r1i1p1f2,4
1968-11-01,r1i1p1f2,2
1969-11-01,r1i1p1f2,2
1970-11-01,r1i1p1f2,1
1971-11-01,r1i1p1f2,3
1972-11-01,r1i1p1f2,3
1973-11-01,r1i1p1f2,4
1974-11-01,r1i1p1f2,2
1975-11-01,r1i1p1f2,4
1976-11-01,r1i1p1f2,2
1977-11-01,r1i1p1f2,2
1978-11-01,r1i1p1f2,3
1979-11-01,r1i1p1f2,3
1980-11-01,r1i1p1f2,2
1981-11-01,r1i1p1f2,2
1982-11-01,r1i1p1f2,4
1983-11-01,r1i1p1f2,1
1984-11-01,r1i1p1f2,3
1985-11-01,r1i1p1f2,2
1986-11-01,r1i1p1f2,1
1987-11-01,r1i1p1f2,4
1988-11-01,r1i1p1f2,3
1989-11-01,r1i1p1f2,1
1990-11-01,r1i1p1f2,3
1991-11-01,r1i1p1f2,4
1992-11-01,r1i1p1f2,3
1993-11-01,r1i1p1f2,2
1994-11-01,r1i1p1f2,3
1995-11-01,r1i1p1f2,4
1996-11-01,r1i1p1f2,2
1997-11-01,r1i1p1f2,2
1998-11-01,r1i1p1f2,3
1999-11-01,r1i1p1f2,3
2000-11-01,r1i1p1f2,2
2001-11-01,r1i1p1f2,4
2002-11-01,r1i1p1f2,2
2003-11-01,r1i1p1f2,3
2004-11-01,r1i1p1f2,1
2005-11-01,r1i1p1f2,4
2006-11-01,r1i1p1f2,3
2007-11-01,r1i1p1f2,3
2008-11-01,r1i1p1f2,1
2009-11-01,r1i1p1f2,1
2010-11-01,r1i1p1f2,1
2011-11-01,r1i1p1f2,4
2012-11-01,r1i1p1f2,3
2013-11-01,r1i1p1f2,1
2014-11-01,r1i1p1f2,4
1940-11-01,r6i1p1f2,4
1941-11-01,r6i1p1f2,2
1942-11-01,r6i1p1f2,2
1943-11-01,r6i1p1f2,2
1944-11-01,r6i1p1f2,2
1945-11-01,r6i1p1f2,1
1946-11-01,r6i1p1f2,3
1947-11-01,r6i1p1f2,4
1948-11-01,r6i1p1f2,4
1949-11-01,r6i1p1f2,2
1950-11-01,r6i1p1f2,2
1951-11-01,r6i1p1f2,3
1952-11-01,r6i1p1f2,2
1953-11-01,r6i1p1f2,4
1954-11-01,r6i1p1f2,2
1955-11-01,r6i1p1f2,3
1956-11-01,r6i1p1f2,2
1957-11-01,r6i1p1f2,3
1958-11-01,r6i1p1f2,1
1959-11-01,r6i1p1f2,2
1960-11-01,r6i1p1f2,4
