mem,time,clus,dist
r1i1p1f2,1953-01-16,1,13.295958378127962
r16i1p1f2,1979-04-16,1,13.371585563826196
r16i1p1f2,1983-12-16,1,13.489665819370044
r16i1p1f2,1997-01-16,1,13.851877867901354
r26i1p1f2,1966-06-16,1,14.134655818265156
r21i1p1f2,1959-06-16,1,14.156550071112179
r6i1p1f2,1968-03-16,1,14.159965889016844
r11i1p1f2,1993-12-16,1,14.396321834418595
r16i1p1f2,1942-01-16,1,14.454358791877114
r16i1p1f2,1946-02-15,1,14.506228994262585
r11i1p1f2,1999-11-16,1,14.587604242252022
r16i1p1f2,1979-10-16,1,14.680772988043397
r1i1p1f2,1984-02-15,1,14.741584573025824
r21i1p1f2,1996-03-16,1,14.854955095796393
r1i1p1f2,1990-06-16,1,14.970877470999708
r16i1p1f2,1979-05-16,1,14.984419990344975
r21i1p1f2,2006-06-16,1,15.008032733565956
r11i1p1f2,1950-05-16,1,15.114200978691915
r16i1p1f2,2010-10-16,1,15.130388108380638
r16i1p1f2,1940-03-16,1,15.141487348202554
r16i1p1f2,1983-11-16,1,15.168115748706304
r26i1p1f2,1948-11-16,1,15.19416344615664
r16i1p1f2,1999-10-16,1,15.3579126773208
r11i1p1f2,1984-04-16,1,15.430162787068111
r6i1p1f2,1968-04-16,1,15.520326272904303
r11i1p1f2,1964-06-16,1,15.527602967501156
r26i1p1f2,1963-12-16,1,15.53476590341895
r21i1p1f2,2002-08-16,1,15.552475131153003
r1i1p1f2,1940-09-16,1,15.586373648451186
r11i1p1f2,1996-05-16,1,15.59297268537938
r26i1p1f2,1995-11-16,1,15.66124272246755
r16i1p1f2,1997-02-15,1,15.722418715530221
r21i1p1f2,1988-03-16,1,15.759674212057083
r26i1p1f2,1951-02-15,1,15.834351285706711
r26i1p1f2,2003-10-16,1,15.877352130942471
r26i1p1f2,2013-05-16,1,15.881397799125756
r6i1p1f2,1988-07-16,1,15.882346377797786
r16i1p1f2,2008-12-16,1,15.907364228377629
r11i1p1f2,1989-03-16,1,15.916311682806237
r11i1p1f2,1989-12-16,1,15.99095844917723
r1i1p1f2,1963-07-16,1,16.00525871748508
r16i1p1f2,2002-02-15,1,16.007945452918136
r26i1p1f2,1996-01-16,1,16.008791517380565
r26i1p1f2,1995-12-16,1,16.029898116356765
r11i1p1f2,1985-03-16,1,16.034524054431024
r21i1p1f2,1943-07-16,1,16.055999275286155
r6i1p1f2,1977-03-16,1,16.06448300074693
r11i1p1f2,1984-03-16,1,16.097806031190874
r21i1p1f2,1961-12-16,1,16.142738209827495
r26i1p1f2,2009-12-16,1,16.179535748387476
r6i1p1f2,1959-08-16,1,16.182653139144517
r6i1p1f2,1942-03-16,1,16.254458004196284
r16i1p1f2,1984-01-16,1,16.277624508058587
r6i1p1f2,1951-01-16,1,16.302389385585826
r26i1p1f2,1992-08-16,1,16.393908888688678
r11i1p1f2,1969-01-16,1,16.44607691901624
r11i1p1f2,2000-07-16,1,16.461361206135177
r26i1p1f2,2013-03-16,1,16.489713745165155
r26i1p1f2,2013-08-16,1,16.49682417860792
r6i1p1f2,1972-01-16,1,16.54290954854233
r26i1p1f2,1974-03-16,1,16.568616101227967
r6i1p1f2,2008-12-16,1,16.664347292935876
r1i1p1f2,1993-05-16,1,16.674209022210455
r21i1p1f2,1952-03-16,1,16.730174861965637
r26i1p1f2,1966-02-15,1,16.73986207065792
r11i1p1f2,1941-06-16,1,16.759246581131258
r1i1p1f2,1955-11-16,1,16.78163589741074
r26i1p1f2,1950-12-16,1,16.79463799747897
r21i1p1f2,1990-07-16,1,16.802312078589182
r16i1p1f2,1992-11-16,1,16.854842633306443
r1i1p1f2,1993-06-16,1,16.90009351076271
r1i1p1f2,1960-01-16,1,16.908972918894285
r11i1p1f2,1961-03-16,1,16.935307598986014
r26i1p1f2,2006-07-16,1,16.983870837677763
r11i1p1f2,1972-06-16,1,17.010960490097894
r6i1p1f2,1990-02-15,1,17.048516094355247
r1i1p1f2,1965-06-16,1,17.06829068817076
r16i1p1f2,1990-04-16,1,17.0940851311585
r26i1p1f2,1951-01-16,1,17.10426564538898
r11i1p1f2,1985-11-16,1,17.148564155267724
r26i1p1f2,2013-06-16,1,17.163947002914934
r6i1p1f2,1968-05-16,1,17.238062546684954
r11i1p1f2,1989-10-16,1,17.273640198142004
r26i1p1f2,1955-06-16,1,17.29290492305364
r16i1p1f2,1997-06-16,1,17.304674727674286
r6i1p1f2,1981-11-16,1,17.30756063983576
r21i1p1f2,2013-11-16,1,17.320723219658863
r1i1p1f2,2008-05-16,1,17.324264827823853
r1i1p1f2,1946-05-16,1,17.331180403476395
r1i1p1f2,1940-08-16,1,17.331976117477055
r16i1p1f2,1950-03-16,1,17.385456426341655
r21i1p1f2,1990-05-16,1,17.38592192171072
r6i1p1f2,2010-11-16,1,17.398951868516384
r21i1p1f2,2014-02-15,1,17.429582209448476
r6i1p1f2,1977-09-16,1,17.446521356510708
r6i1p1f2,1946-03-16,1,17.456844243043584
r11i1p1f2,2000-01-16,1,17.4673104197595
r16i1p1f2,1995-09-16,1,17.511583143613574
r26i1p1f2,2003-07-16,1,17.532092529330967
r16i1p1f2,1999-05-16,1,17.534661934870506
r6i1p1f2,1942-06-16,1,17.575871498525313
r21i1p1f2,1972-12-16,1,17.601882530754686
r21i1p1f2,1992-11-16,1,17.617898166159456
r21i1p1f2,1978-04-16,1,17.6362251189222
r1i1p1f2,1960-03-16,1,17.641762632382953
r16i1p1f2,1941-11-16,1,17.655745634385504
r26i1p1f2,2008-08-16,1,17.656357701807128
r21i1p1f2,1978-11-16,1,17.722826736575
r21i1p1f2,1949-02-15,1,17.73031738259749
r16i1p1f2,2007-06-16,1,17.74217689749925
r16i1p1f2,1948-02-15,1,17.83708503798163
r21i1p1f2,1967-10-16,1,17.838977246447868
r11i1p1f2,1982-02-15,1,17.846988985631135
r11i1p1f2,1966-04-16,1,17.852222315899528
r26i1p1f2,1998-10-16,1,17.892805269088857
r16i1p1f2,1986-06-16,1,17.89411040596653
r11i1p1f2,1951-06-16,1,17.907143541463377
r6i1p1f2,2005-10-16,1,17.9077641394364
r21i1p1f2,1990-04-16,1,17.911229369520967
r16i1p1f2,2002-01-16,1,17.919616336032423
r1i1p1f2,1986-11-16,1,17.943528781508466
r16i1p1f2,1999-02-15,1,17.995713171547315
r1i1p1f2,1949-07-16,1,17.996467194825694
r1i1p1f2,1951-03-16,1,18.02070456607942
r21i1p1f2,1991-02-15,1,18.04030926715313
r11i1p1f2,1979-11-16,1,18.062117247074518
r6i1p1f2,1991-01-16,1,18.09972389327577
r11i1p1f2,1946-03-16,1,18.106792459244407
r26i1p1f2,1950-11-16,1,18.109751070464092
r11i1p1f2,2000-11-16,1,18.113250599977118
r21i1p1f2,1953-11-16,1,18.132652582299908
r11i1p1f2,1952-08-16,1,18.134556588117928
